question_type,question,answer,reasoning_path
pattern_a_team_country,Which country is the team of ali osman renklibay in?,turkiye,ali osman renklibay --[member of sports team]--> Ceyhanspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of ahmet suat özyazıcı in?,turkiye,ahmet suat özyazıcı --[member of sports team]--> Trabzon İdmanocağı --[country]--> turkiye
pattern_a_team_country,Which country is the team of i̇brahim halil yaşar in?,turkiye,i̇brahim halil yaşar --[member of sports team]--> Kirikhanspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Güven Gürsoy in?,turkiye,Güven Gürsoy --[member of sports team]--> Kirikhanspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Bulut Basmaz in?,turkiye,Bulut Basmaz --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of i̇lker erbay in?,turkiye,i̇lker erbay --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Yunus Altun in?,turkiye,Yunus Altun --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of deniz aslan in?,turkiye,deniz aslan --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Murat Kayalı in?,turkiye,Murat Kayalı --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of gokhan emreciksin in?,turkiye,gokhan emreciksin --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of alper kalemci in?,turkiye,alper kalemci --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Murat Akyuez in?,turkiye,Murat Akyuez --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Erdinc Yavuz in?,turkiye,Erdinc Yavuz --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Eren Aydin in?,turkiye,Eren Aydin --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Sinan Kaloglu in?,turkiye,Sinan Kaloglu --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of goksu turkdogan in?,turkiye,goksu turkdogan --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Ferhat Odabaşı in?,turkiye,Ferhat Odabaşı --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Yavuz Eraydin in?,turkiye,Yavuz Eraydin --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of erol erdal alkan in?,turkiye,erol erdal alkan --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of hasan hakan hacıbektaşoğlu in?,turkiye,hasan hakan hacıbektaşoğlu --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of hakan söyler in?,turkiye,hakan söyler --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of halil akbunar in?,turkiye,halil akbunar --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of çağlayan alpsatan in?,turkiye,çağlayan alpsatan --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of muhammed ali doğan in?,turkiye,muhammed ali doğan --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Veysel Aksu in?,turkiye,Veysel Aksu --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Muhammet Akyildiz in?,turkiye,Muhammet Akyildiz --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of kemal tokak in?,turkiye,kemal tokak --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Köksal Yedek in?,turkiye,Köksal Yedek --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of çağlar şahin akbaba in?,turkiye,çağlar şahin akbaba --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,"Which country is the team of Kilinc, David in?",turkiye,"Kilinc, David --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye"
pattern_a_team_country,Which country is the team of Zeki Korkmaz in?,turkiye,Zeki Korkmaz --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of mehmet al in?,turkiye,mehmet al --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Mehmet Turkmehmet in?,turkiye,Mehmet Turkmehmet --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of sözgelmez in?,turkiye,sözgelmez --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of miško mirkovic in?,turkiye,miško mirkovic --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Kulbilge in?,turkiye,Kulbilge --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of nurullah saglam in?,turkiye,nurullah saglam --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of oguzhan bahadir in?,turkiye,oguzhan bahadir --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Richard Kingson in?,turkiye,Richard Kingson --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Bahadir Ozturk in?,turkiye,Bahadir Ozturk --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,"Which country is the team of ağçay, sedat in?",turkiye,"ağçay, sedat --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye"
pattern_a_team_country,Which country is the team of tolga özgen in?,turkiye,tolga özgen --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of zulkuf ozer in?,turkiye,zulkuf ozer --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Volkan Yilmaz in?,turkiye,Volkan Yilmaz --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Yusuf Kurtulus in?,turkiye,Yusuf Kurtulus --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of ali gutda gokdemir in?,turkiye,ali gutda gokdemir --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of cağlar birinci in?,turkiye,cağlar birinci --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Mehmet Nas in?,turkiye,Mehmet Nas --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of sedat bayrak in?,turkiye,sedat bayrak --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Ersan Gueluem in?,turkiye,Ersan Gueluem --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Onder Cengel in?,turkiye,Onder Cengel --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Özgür Özkaya in?,turkiye,Özgür Özkaya --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of murat tosun in?,turkiye,murat tosun --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Mehmet Boztepe in?,turkiye,Mehmet Boztepe --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Aydin Karabulut in?,turkiye,Aydin Karabulut --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Umit Tutunci in?,turkiye,Umit Tutunci --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of ibrahim kas in?,turkiye,ibrahim kas --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of İlker Avcıbay in?,turkiye,İlker Avcıbay --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Adem Alkasi in?,turkiye,Adem Alkasi --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Ahmet Görkem Görk in?,turkiye,Ahmet Görkem Görk --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of Ahmet Şahin (footballer) in?,turkiye,Ahmet Şahin (footballer) --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of mustafa sarp in?,turkiye,mustafa sarp --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
pattern_a_team_country,Which country is the team of rıdvan şimşek in?,turkiye,rıdvan şimşek --[member of sports team]--> sanica boru elâzığspor --[country]--> turkiye
