question_id,question_text,reasoning_path,gold_answer,difficulty,domain,question_type
2-HOP_TEAM_COUNTRY_001,Ugur Kapisiz'ın oynadığı takımın ülkesi neresidir?,Ugur Kapisiz -> member of sports team -> Edirnespor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_002,zafer biryol'ın oynadığı takımın ülkesi neresidir?,zafer biryol -> member of sports team -> Edirnespor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_003,Yavuz Eraydin'ın oynadığı takımın ülkesi neresidir?,Yavuz Eraydin -> member of sports team -> Edirnespor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_004,nurullah saglam'ın oynadığı takımın ülkesi neresidir?,nurullah saglam -> member of sports team -> Edirnespor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_005,semih yuvakuran'ın oynadığı takımın ülkesi neresidir?,semih yuvakuran -> member of sports team -> Edirnespor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_006,rıza şen'ın oynadığı takımın ülkesi neresidir?,rıza şen -> member of sports team -> tekirdagspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_007,Yılmaz Vural'ın oynadığı takımın ülkesi neresidir?,Yılmaz Vural -> member of sports team -> tekirdagspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_008,Ugur Kapisiz'ın oynadığı takımın ülkesi neresidir?,Ugur Kapisiz -> member of sports team -> tekirdagspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_009,recep oztuerk'ın oynadığı takımın ülkesi neresidir?,recep oztuerk -> member of sports team -> tekirdagspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_010,Ipek Soylu'ın oynadığı takımın ülkesi neresidir?,Ipek Soylu -> member of sports team -> Enka SK -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_011,Naci Ozkaya'ın oynadığı takımın ülkesi neresidir?,Naci Ozkaya -> member of sports team -> Eskişehir Demirspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_012,Mehmetcik Basri'ın oynadığı takımın ülkesi neresidir?,Mehmetcik Basri -> member of sports team -> Eskişehir Demirspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_013,Mustafa Cevahir'ın oynadığı takımın ülkesi neresidir?,Mustafa Cevahir -> member of sports team -> fenerbahçe s.k. a2 -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_014,Gökay İravul'ın oynadığı takımın ülkesi neresidir?,Gökay İravul -> member of sports team -> fenerbahçe s.k. a2 -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_015,Onur Tuncer'ın oynadığı takımın ülkesi neresidir?,Onur Tuncer -> member of sports team -> fenerbahçe s.k. a2 -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_016,Onur Karakabak'ın oynadığı takımın ülkesi neresidir?,Onur Karakabak -> member of sports team -> fenerbahçe s.k. a2 -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_017,Hasan Erbey'ın oynadığı takımın ülkesi neresidir?,Hasan Erbey -> member of sports team -> fenerbahçe s.k. a2 -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_018,muhammed akarslan'ın oynadığı takımın ülkesi neresidir?,muhammed akarslan -> member of sports team -> fenerbahçe s.k. a2 -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_019,osman kuersat duman'ın oynadığı takımın ülkesi neresidir?,osman kuersat duman -> member of sports team -> fenerbahçe s.k. a2 -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_020,savas polat'ın oynadığı takımın ülkesi neresidir?,savas polat -> member of sports team -> fenerbahçe s.k. a2 -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_021,uygar zeybek'ın oynadığı takımın ülkesi neresidir?,uygar zeybek -> member of sports team -> fenerbahçe s.k. a2 -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_022,Caner Koca'ın oynadığı takımın ülkesi neresidir?,Caner Koca -> member of sports team -> fenerbahçe s.k. a2 -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_023,recep niyaz'ın oynadığı takımın ülkesi neresidir?,recep niyaz -> member of sports team -> fenerbahçe s.k. a2 -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_024,Senyil Mehmet Kutay'ın oynadığı takımın ülkesi neresidir?,Senyil Mehmet Kutay -> member of sports team -> fenerbahçe s.k. a2 -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_025,semih sentürk'ın oynadığı takımın ülkesi neresidir?,semih sentürk -> member of sports team -> fenerbahçe s.k. a2 -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_026,erten ersu'ın oynadığı takımın ülkesi neresidir?,erten ersu -> member of sports team -> fenerbahçe s.k. a2 -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_027,Murat İbrahim Uslu'ın oynadığı takımın ülkesi neresidir?,Murat İbrahim Uslu -> member of sports team -> gaskispor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_028,vahap isik'ın oynadığı takımın ülkesi neresidir?,vahap isik -> member of sports team -> gaskispor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_029,kaya tarakcı'ın oynadığı takımın ülkesi neresidir?,kaya tarakcı -> member of sports team -> gaskispor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_030,murat ceylan'ın oynadığı takımın ülkesi neresidir?,murat ceylan -> member of sports team -> gaskispor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_031,Abdullah Halman'ın oynadığı takımın ülkesi neresidir?,Abdullah Halman -> member of sports team -> gaskispor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_032,i̇brahim ferdi coşkun'ın oynadığı takımın ülkesi neresidir?,i̇brahim ferdi coşkun -> member of sports team -> gaskispor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_033,Mehmet Polat'ın oynadığı takımın ülkesi neresidir?,Mehmet Polat -> member of sports team -> gaskispor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_034,can emre yuecel'ın oynadığı takımın ülkesi neresidir?,can emre yuecel -> member of sports team -> gaskispor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_035,yağmur uraz'ın oynadığı takımın ülkesi neresidir?,yağmur uraz -> member of sports team -> Gazi Üniversitesispor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_036,Gamze İskeçeli'ın oynadığı takımın ülkesi neresidir?,Gamze İskeçeli -> member of sports team -> Gazi Üniversitesispor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_037,Lutfiye Ercimen'ın oynadığı takımın ülkesi neresidir?,Lutfiye Ercimen -> member of sports team -> Gazi Üniversitesispor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_038,reyhan şeker'ın oynadığı takımın ülkesi neresidir?,reyhan şeker -> member of sports team -> Gazi Üniversitesispor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_039,didem karagenc'ın oynadığı takımın ülkesi neresidir?,didem karagenc -> member of sports team -> Gazi Üniversitesispor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_040,bilgesu aydin'ın oynadığı takımın ülkesi neresidir?,bilgesu aydin -> member of sports team -> Gazi Üniversitesispor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_041,damla demirdön'ın oynadığı takımın ülkesi neresidir?,damla demirdön -> member of sports team -> Gazi Üniversitesispor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_042,Yonca Şentürk'ın oynadığı takımın ülkesi neresidir?,Yonca Şentürk -> member of sports team -> Gazi Üniversitesispor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_043,Basak Ersoy'ın oynadığı takımın ülkesi neresidir?,Basak Ersoy -> member of sports team -> Gazi Üniversitesispor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_044,tuğba karataş'ın oynadığı takımın ülkesi neresidir?,tuğba karataş -> member of sports team -> Gazi Üniversitesispor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_045,Zübeyde Kaya'ın oynadığı takımın ülkesi neresidir?,Zübeyde Kaya -> member of sports team -> Gazi Üniversitesispor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_046,erhan namlı'ın oynadığı takımın ülkesi neresidir?,erhan namlı -> member of sports team -> ankara demirspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_047,fikri elma'ın oynadığı takımın ülkesi neresidir?,fikri elma -> member of sports team -> ankara demirspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_048,Naci Ozkaya'ın oynadığı takımın ülkesi neresidir?,Naci Ozkaya -> member of sports team -> ankara demirspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_049,mehmet kiskac'ın oynadığı takımın ülkesi neresidir?,mehmet kiskac -> member of sports team -> ankara demirspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_050,Yılmaz Vural'ın oynadığı takımın ülkesi neresidir?,Yılmaz Vural -> member of sports team -> ankara demirspor -> country -> turkiye,turkiye,2-hop,sports,team_country
