question_type,question,answer,player_id,player_name,club_id,club_name,league_id,league_name,reasoning_path
pattern_e_team_league,Which league does the team of ali osman renklibay play in?,bölgesel amatör lig,Q2484717,ali osman renklibay,Q1057881,Ceyhanspor,Q7855307,bölgesel amatör lig,ali osman renklibay --[member of sports team]--> Ceyhanspor --[league]--> bölgesel amatör lig
pattern_e_team_league,Which league does the team of i̇brahim halil yaşar play in?,TFF Third League,Q3612815,i̇brahim halil yaşar,Q11183744,Kirikhanspor,Q1470401,TFF Third League,i̇brahim halil yaşar --[member of sports team]--> Kirikhanspor --[league]--> TFF Third League
pattern_e_team_league,Which league does the team of Güven Gürsoy play in?,TFF Third League,Q5627174,Güven Gürsoy,Q11183744,Kirikhanspor,Q1470401,TFF Third League,Güven Gürsoy --[member of sports team]--> Kirikhanspor --[league]--> TFF Third League
pattern_e_team_league,Which league does the team of Bulut Basmaz play in?,turkish super league,Q1004726,Bulut Basmaz,Q1127498,sanica boru elâzığspor,Q485568,turkish super league,Bulut Basmaz --[member of sports team]--> sanica boru elâzığspor --[league]--> turkish super league
pattern_e_team_league,Which league does the team of i̇lker erbay play in?,turkish super league,Q10434601,i̇lker erbay,Q1127498,sanica boru elâzığspor,Q485568,turkish super league,i̇lker erbay --[member of sports team]--> sanica boru elâzığspor --[league]--> turkish super league
pattern_e_team_league,Which league does the team of Yunus Altun play in?,turkish super league,Q10507034,Yunus Altun,Q1127498,sanica boru elâzığspor,Q485568,turkish super league,Yunus Altun --[member of sports team]--> sanica boru elâzığspor --[league]--> turkish super league
pattern_e_team_league,Which league does the team of deniz aslan play in?,turkish super league,Q1187832,deniz aslan,Q1127498,sanica boru elâzığspor,Q485568,turkish super league,deniz aslan --[member of sports team]--> sanica boru elâzığspor --[league]--> turkish super league
pattern_e_team_league,Which league does the team of Murat Kayalı play in?,turkish super league,Q1230804,Murat Kayalı,Q1127498,sanica boru elâzığspor,Q485568,turkish super league,Murat Kayalı --[member of sports team]--> sanica boru elâzığspor --[league]--> turkish super league
pattern_e_team_league,Which league does the team of gokhan emreciksin play in?,turkish super league,Q1253508,gokhan emreciksin,Q1127498,sanica boru elâzığspor,Q485568,turkish super league,gokhan emreciksin --[member of sports team]--> sanica boru elâzığspor --[league]--> turkish super league
pattern_e_team_league,Which league does the team of alper kalemci play in?,turkish super league,Q1268421,alper kalemci,Q1127498,sanica boru elâzığspor,Q485568,turkish super league,alper kalemci --[member of sports team]--> sanica boru elâzığspor --[league]--> turkish super league
pattern_e_team_league,Which league does the team of Murat Akyuez play in?,turkish super league,Q1290838,Murat Akyuez,Q1127498,sanica boru elâzığspor,Q485568,turkish super league,Murat Akyuez --[member of sports team]--> sanica boru elâzığspor --[league]--> turkish super league
pattern_e_team_league,Which league does the team of Erdinc Yavuz play in?,turkish super league,Q1349279,Erdinc Yavuz,Q1127498,sanica boru elâzığspor,Q485568,turkish super league,Erdinc Yavuz --[member of sports team]--> sanica boru elâzığspor --[league]--> turkish super league
pattern_e_team_league,Which league does the team of Eren Aydin play in?,turkish super league,Q1349995,Eren Aydin,Q1127498,sanica boru elâzığspor,Q485568,turkish super league,Eren Aydin --[member of sports team]--> sanica boru elâzığspor --[league]--> turkish super league
pattern_e_team_league,Which league does the team of Sinan Kaloglu play in?,turkish super league,Q1396846,Sinan Kaloglu,Q1127498,sanica boru elâzığspor,Q485568,turkish super league,Sinan Kaloglu --[member of sports team]--> sanica boru elâzığspor --[league]--> turkish super league
pattern_e_team_league,Which league does the team of goksu turkdogan play in?,turkish super league,Q1401074,goksu turkdogan,Q1127498,sanica boru elâzığspor,Q485568,turkish super league,goksu turkdogan --[member of sports team]--> sanica boru elâzığspor --[league]--> turkish super league
pattern_e_team_league,Which league does the team of Ferhat Odabaşı play in?,turkish super league,Q1406254,Ferhat Odabaşı,Q1127498,sanica boru elâzığspor,Q485568,turkish super league,Ferhat Odabaşı --[member of sports team]--> sanica boru elâzığspor --[league]--> turkish super league
pattern_e_team_league,Which league does the team of Yavuz Eraydin play in?,turkish super league,Q1419830,Yavuz Eraydin,Q1127498,sanica boru elâzığspor,Q485568,turkish super league,Yavuz Eraydin --[member of sports team]--> sanica boru elâzığspor --[league]--> turkish super league
pattern_e_team_league,Which league does the team of erol erdal alkan play in?,turkish super league,Q15651896,erol erdal alkan,Q1127498,sanica boru elâzığspor,Q485568,turkish super league,erol erdal alkan --[member of sports team]--> sanica boru elâzığspor --[league]--> turkish super league
pattern_e_team_league,Which league does the team of hasan hakan hacıbektaşoğlu play in?,turkish super league,Q1569824,hasan hakan hacıbektaşoğlu,Q1127498,sanica boru elâzığspor,Q485568,turkish super league,hasan hakan hacıbektaşoğlu --[member of sports team]--> sanica boru elâzığspor --[league]--> turkish super league
pattern_e_team_league,Which league does the team of hakan söyler play in?,turkish super league,Q1569840,hakan söyler,Q1127498,sanica boru elâzığspor,Q485568,turkish super league,hakan söyler --[member of sports team]--> sanica boru elâzığspor --[league]--> turkish super league
