entity_id,name,description
Q1004613,posof,"Posof (Georgian: ფოცხოვი, Potskhovi) is a district of Ardahan Province of Turkey, in the far east of the country, 75 km from the city of Ardahan. It has a border crossing with neighboring Georgia at Türkgözü. Posof is well known for its handicrafts particularly its ornate silver belts and knives."
Q1004614,Stewr,"Savur (Arabic: صور‎, Kurdish: Stewr‎) is a district of Mardin Province of Turkey.Savur has a high literacy rate compared to neighboring regions. The district is rich in historical places. Some of them are: Aynkamar, Ras-ıl Meydan, Ras-ıl Harf, Köprübaşı as promenade places, Ulucami Mosque, Savur Castle, and some ancient mansions in the outskirts of the castle.There is also a village in India, by name Savur in Karnataka state, Haveri district on national highway NH4. Some people migrated from this village have a family name as Savur.Nobel laureate Aziz Sancar was born in this town in 1946."
Q1004726,Bulut Basmaz,"Bulut Basmaz (born 6 May 1984) is a Turkish professional footballer who is currently a free agent. Basmaz is also a youth international, earning caps from the U-19, U-20, U-21, and Turkey Olympic team."
Q1007545,Galatasaray Lyceum,"Galatasaray High School (Turkish: Galatasaray Lisesi, French: Lycée de Galatasaray) is a high school in Turkey. Established in 1481, it is the oldest high school in Turkey and the second-oldest Turkish educational institution after Istanbul University, which was established in 1453. Being an Anatolian High School, access to the school is open to students with a high Nationwide High School Entrance score. Education consists of a blend of Turkish and French curricula and is provided in both languages.The association football club Galatasaray S.K. was formed by and named after the institution. The footballers consisted entirely of students of the school during the club's formative years. Galatasaray High School is the progenitor of Galatasaray Community, which includes the football club, its parent Galatasaray Sports Club, and Galatasaray University.The name Galatasaray means Galata Palace, as the school is located near Galata, the medieval Genoese citadel at the north of the Golden Horn, in the district of Beyoğlu which includes the Galata quarter."
Q1010205,burak çalık,Burak Çalık (born 5 February 1989) is a Turkish footballer who plays as a striker for Denizlispor.
Q1010206,burak ozsarac,İhsan Burak Özsaraç (born 7 June 1979) is a Turkish retired professional footballer who played as a defender. He has also been capped by the Turkey A-2 squad.
Q1011290,"haskoy, mus","Hasköy (Armenian: Խասգեղ, Kurdish: Dêrxas) is a town and district of Muş Province in the Eastern Anatolia region of present-day Turkey. The mayor is Mürsel Özen (AKP)."
Q1012940,Kirikan,"Kırıkhan is a town and district in the northeastern part of Hatay Province, Turkey. The name Kırıkhan means “broken inn” in the Turkish language, perhaps a reference to one of the many lodgings that once lined the road. The town stands at the intersection of the route between İskenderun and Aleppo, and the major east-west road between Antakya and Kahramanmaraş.The town was once part of the district of Belen, but became a district in its own right in 1923 at the time of the French Mandate. On 23 June 1939, Kırıkhan joined Turkey as part of Hatay.It has 687.73 km2 acreage, 32.3°C of average summer temperature and 7.31°C of average winter temperature."
Q1016271,Burhan Eser,Burhan Eşer (born 28 December 1987) is a Turkish footballer. He plays as a midfielder for Osmanlıspor in the TFF First League.
Q1016283,Burhan Sargun,"Burhan Sargun (born 11 February 1929 in Ankara) is a former Turkish footballer.During his club career he played for Fenerbahçe between 1951–56 and 1960–61, scoring a total of 112 goals. He played 8 games and scored 7 goals for the Turkey national football team, including a hat-trick in the 1954 FIFA World Cup against South Korea."
Q1016967,Bursa Atatuerk stadium,"Bursa Atatürk Stadium (Turkish: Bursa Atatürk Stadyumu) was a multi-purpose stadium in Bursa, Turkey.  It was currently used mostly for football matches and was the home ground of Bursaspor. The stadium holds 25,213 and was built in 1979. A stadium has existed on this site since 1930 when a stand with a capacity of 300 was built for an amateur football club. The stadium was demolished in 2016."
Q1019915,Sivri-Hissar,"Sivrihisar (Turkish: Sivrihisar, ""a pointed castle"") is a town and district of Eskişehir Province in the Central Anatolia region of Turkey. According to 2010 census, population of the district is 23 488 of which 9,817 live in the town of Sivrihisar. The district covers an area of 2,987 km2 (1,153 sq mi), and the average elevation is 1,070 m (3,510 ft)."
Q1020663,kızılcahamam district,"Kızılcahamam is a town and district of Ankara Province in the Central Anatolia region of Turkey, 70 km north of the city of Ankara, near the motorway to Istanbul. According to 2010 census, population of the district is 25,203 of which 16,726 live in the town of Kızılcahamam. The district covers an area of 1,712 km², and the average elevation in district center is 975 m.The area is mountain and forest, a geographical boundary between central Anatolia and the Black Sea regions.Kızılcahamam itself is a quiet market town known for its healing hot springs and mineral waters. Nearby Soğuksu National Park contains a scout camp and trails, and areas for picnic in the forest. There are hotels and guest houses including spa hotels. A sculpture of black vulture, an endangered bird species inhabited in the national park, is situated at the entrance of the town."
Q1020675,Bülent Cevahir,Bülent Cevahir (born 13 February 1992) is a Turkish footballer who plays as a midfielder for Yeni Malatyaspor.
Q1020683,Bülent Kocabey,"Bülent Kocabey  (born June 8, 1984 in Istanbul, Turkey), is a Turkish football player playing for Adanaspor, in midfielder position."
Q1020698,buelent uygun,"Bülent Uygun (born 1 August 1971) is a former Turkish football manager and former professional footballer. He played as an attacking midfielder after starting his career as a striker, and was the captain of Fenerbahçe. His nickname is The Soldier."
