question_type,question,answer,player_id,player_name,pos_id,pos_name,reasoning_path
pattern_d_player_position,What position does Mert Hakan Yandaş play?,winger (rugby league),Q16937968,Mert Hakan Yandaş,Q1369558,winger (rugby league),Mert Hakan Yandaş --[position played on team / speciality]--> winger (rugby league)
pattern_d_player_position,What position does Metin Kurt play?,winger (rugby league),Q1925646,Metin Kurt,Q1369558,winger (rugby league),Metin Kurt --[position played on team / speciality]--> winger (rugby league)
pattern_d_player_position,What position does muslih peykoğlu play?,winger (rugby league),Q6037819,muslih peykoğlu,Q1369558,winger (rugby league),muslih peykoğlu --[position played on team / speciality]--> winger (rugby league)
pattern_d_player_position,What position does hedo türkoğlu play?,Point Forward,Q298981,hedo türkoğlu,Q1607137,Point Forward,hedo türkoğlu --[position played on team / speciality]--> Point Forward
pattern_d_player_position,What position does önder özen play?,Goalkeeper,Q12812709,önder özen,Q172964,Goalkeeper,önder özen --[position played on team / speciality]--> Goalkeeper
pattern_d_player_position,What position does çağlar şahin akbaba play?,Goalkeeper,Q18030084,çağlar şahin akbaba,Q172964,Goalkeeper,çağlar şahin akbaba --[position played on team / speciality]--> Goalkeeper
pattern_d_player_position,What position does Irfan Can Egribayat play?,Goalkeeper,Q22342440,Irfan Can Egribayat,Q172964,Goalkeeper,Irfan Can Egribayat --[position played on team / speciality]--> Goalkeeper
pattern_d_player_position,What position does erhan erentürk play?,Goalkeeper,Q22342445,erhan erentürk,Q172964,Goalkeeper,erhan erentürk --[position played on team / speciality]--> Goalkeeper
pattern_d_player_position,What position does fikret yılmaz play?,Goalkeeper,Q6089409,fikret yılmaz,Q172964,Goalkeeper,fikret yılmaz --[position played on team / speciality]--> Goalkeeper
pattern_d_player_position,What position does Burhan Eser play?,Right-half,Q1016271,Burhan Eser,Q193592,Right-half,Burhan Eser --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does Bülent Cevahir play?,Right-half,Q1020675,Bülent Cevahir,Q193592,Right-half,Bülent Cevahir --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does Bülent Kocabey play?,Right-half,Q1020683,Bülent Kocabey,Q193592,Right-half,Bülent Kocabey --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does buelent uygun play?,Right-half,Q1020698,buelent uygun,Q193592,Right-half,buelent uygun --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does Can Bartu play?,Right-half,Q1031846,Can Bartu,Q193592,Right-half,Can Bartu --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does Caner Ağca play?,Right-half,Q1033114,Caner Ağca,Q193592,Right-half,Caner Ağca --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does cansu yağ play?,Right-half,Q1033654,cansu yağ,Q193592,Right-half,cansu yağ --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does musa büyük play?,Right-half,Q10382469,musa büyük,Q193592,Right-half,musa büyük --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does Mehmet Yilmaz (defender) play?,Right-half,Q10397103,Mehmet Yilmaz (defender),Q193592,Right-half,Mehmet Yilmaz (defender) --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does mehmet budak play?,Right-half,Q10397140,mehmet budak,Q193592,Right-half,mehmet budak --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does mutlu topcu play?,Right-half,Q10433617,mutlu topcu,Q193592,Right-half,mutlu topcu --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does ömer közen play?,Right-half,Q10442838,ömer közen,Q193592,Right-half,ömer közen --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does Cem Can play?,Right-half,Q1053252,Cem Can,Q193592,Right-half,Cem Can --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does cem özdemir (footballer) play?,Right-half,Q1053268,cem özdemir (footballer),Q193592,Right-half,cem özdemir (footballer) --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does Cenk Ahmet Alkılıç play?,Right-half,Q1053395,Cenk Ahmet Alkılıç,Q193592,Right-half,Cenk Ahmet Alkılıç --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does civar cetin play?,Right-half,Q1094416,civar cetin,Q193592,Right-half,civar cetin --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does Timo Cecen play?,Right-half,Q111047,Timo Cecen,Q193592,Right-half,Timo Cecen --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does Oguzhan Berber play?,Right-half,Q1115783,Oguzhan Berber,Q193592,Right-half,Oguzhan Berber --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does Özkan Yildirim play?,Right-half,Q1152151,Özkan Yildirim,Q193592,Right-half,Özkan Yildirim --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does Deniz Vural play?,Right-half,Q1187858,Deniz Vural,Q193592,Right-half,Deniz Vural --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does Hakin Yakin play?,Right-half,Q122346,Hakin Yakin,Q193592,Right-half,Hakin Yakin --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does Efecan Karaca play?,Right-half,Q1226018,Efecan Karaca,Q193592,Right-half,Efecan Karaca --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does Murat Kayalı play?,Right-half,Q1230804,Murat Kayalı,Q193592,Right-half,Murat Kayalı --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does Samet Bulbul play?,Right-half,Q1230845,Samet Bulbul,Q193592,Right-half,Samet Bulbul --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does yusuf kasal play?,Right-half,Q123736,yusuf kasal,Q193592,Right-half,yusuf kasal --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does Merthan Açıl play?,Right-half,Q1242664,Merthan Açıl,Q193592,Right-half,Merthan Açıl --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does gokhan emreciksin play?,Right-half,Q1253508,gokhan emreciksin,Q193592,Right-half,gokhan emreciksin --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does Doğa Kaya play?,Right-half,Q1253603,Doğa Kaya,Q193592,Right-half,Doğa Kaya --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does kivanc karakas play?,Right-half,Q1258627,kivanc karakas,Q193592,Right-half,kivanc karakas --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does dursun karatay play?,Right-half,Q1267525,dursun karatay,Q193592,Right-half,dursun karatay --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does alper kalemci play?,Right-half,Q1268421,alper kalemci,Q193592,Right-half,alper kalemci --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does umut sozen play?,Right-half,Q1293904,umut sozen,Q193592,Right-half,umut sozen --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does Efe Inanc play?,Right-half,Q1295771,Efe Inanc,Q193592,Right-half,Efe Inanc --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does Metin Diyadin play?,Right-half,Q1304877,Metin Diyadin,Q193592,Right-half,Metin Diyadin --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does emrah bassan play?,Right-half,Q1339518,emrah bassan,Q193592,Right-half,emrah bassan --[position played on team / speciality]--> Right-half
pattern_d_player_position,What position does Emre Nefiz play?,Right-half,Q1339573,Emre Nefiz,Q193592,Right-half,Emre Nefiz --[position played on team / speciality]--> Right-half
